time = 198843842, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   181
time = 199924662, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   182
time = 201005482, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   183
time = 202086302, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   184
time = 203167122, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   185
time = 204247942, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   186
time = 205328762, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   187
time = 206409582, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   188
time = 207490402, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   189
time = 208571222, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   190
time = 209652042, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   191
time = 210732862, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   192
time = 211813682, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   193
time = 212894502, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   194
time = 213975322, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   195
time = 215056142, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   196
time = 216136962, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   197
time = 217217782, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   198
time = 218298602, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   199
time = 219379422, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   200
time = 220460242, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   201
time = 221541062, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   202
time = 222621882, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   203
time = 223702702, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   204
time = 224783522, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   205
time = 225864342, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   206
time = 226945162, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   207
time = 228025982, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   208
time = 229106802, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   209
time = 230187622, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   210
time = 231268442, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   211
time = 232349262, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   212
time = 233430082, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   213
time = 234510902, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   214
time = 235591722, E1:  en = 0, step = 1, dir = 0, delta =  54041, e1 =   215
