time = 133729462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   165
time = 134337962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   166
time = 134946462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   167
time = 135554962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   168
time = 136163462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   169
time = 136771962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   170
time = 137380462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   171
time = 137988962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   172
time = 138597462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   173
time = 139205962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   174
time = 139814462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   175
time = 140422962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   176
time = 141031462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   177
time = 141639962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   178
time = 142248462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   179
time = 142856962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   180
time = 143465462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   181
time = 144073962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   182
time = 144682462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   183
time = 145290962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   184
time = 145899462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   185
time = 146507962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   186
time = 147116462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   187
time = 147724962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   188
time = 148333462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   189
time = 148941962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   190
time = 149550462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   191
time = 150158962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   192
time = 150767462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   193
time = 151375962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   194
time = 151984462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   195
time = 152592962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   196
time = 153201462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   197
time = 153809962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   198
time = 154418462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   199
time = 155026962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   200
time = 155635462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   201
time = 156243962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   202
time = 156852462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   203
time = 157460962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   204
time = 158069462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   205
time = 158677962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   206
time = 159286462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   207
time = 159894962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   208
time = 160503462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   209
time = 161111962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   210
time = 161720462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   211
time = 162328962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   212
time = 162937462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   213
time = 163545962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   214
time = 164154462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   215
time = 164762962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   216
time = 165371462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   217
time = 165979962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   218
time = 166588462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   219
time = 167196962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   220
time = 167805462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   221
time = 168413962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   222
time = 169022462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   223
time = 169630962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   224
time = 170239462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   225
time = 170847962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   226
time = 171456462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   227
time = 172064962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   228
time = 172673462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   229
time = 173281962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   230
time = 173890462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   231
time = 174498962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   232
time = 175107462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   233
time = 175715962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   234
time = 176324462, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   235
time = 176932962, Y:  en = 0, step = 1, dir = 0, delta =  30425, y =   236
