time = 221808502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   194
time = 222782622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   195
time = 223756742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   196
time = 224730862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   197
time = 225704982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   198
time = 226679102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   199
time = 227653222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   200
time = 228627342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   201
time = 229601462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   202
time = 230575582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   203
time = 231549702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   204
time = 232523822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   205
time = 233497942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   206
time = 234472062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   207
time = 235446182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   208
time = 236420302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   209
time = 237394422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   210
time = 238368542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   211
time = 239342662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   212
time = 240316782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   213
time = 241290902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   214
time = 242265022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   215
time = 243239142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   216
time = 244213262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   217
time = 245187382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   218
time = 246161502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   219
time = 247135622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   220
time = 248109742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   221
time = 249083862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   222
time = 250057982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   223
time = 251032102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   224
time = 252006222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   225
time = 252980342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   226
time = 253954462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   227
time = 254928582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   228
time = 255902702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   229
time = 256876822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   230
time = 257850942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   231
time = 258825062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   232
time = 259799182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   233
time = 260773302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   234
time = 261747422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   235
time = 262721542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   236
time = 263695662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   237
time = 264669782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   238
time = 265643902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   239
time = 266618022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   240
time = 267592142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   241
time = 268566262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   242
time = 269540382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   243
time = 270514502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   244
time = 271488622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   245
time = 272462742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   246
time = 273436862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   247
time = 274410982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   248
time = 275385102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   249
time = 276359222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   250
time = 277333342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   251
time = 278307462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   252
time = 279281582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   253
time = 280255702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   254
time = 281229822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   255
time = 282203942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   256
time = 283178062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   257
time = 284152182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   258
time = 285126302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   259
time = 286100422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   260
time = 287074542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   261
time = 288048662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   262
time = 289022782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   263
time = 289996902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   264
time = 290971022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   265
time = 291945142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   266
time = 292919262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   267
time = 293893382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   268
time = 294867502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   269
time = 295841622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   270
time = 296815742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   271
time = 297789862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   272
time = 298763982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   273
time = 299738102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   274
time = 300712222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   275
time = 301686342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   276
time = 302660462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   277
time = 303634582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   278
time = 304608702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   279
time = 305582822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   280
time = 306556942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   281
time = 307531062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   282
time = 308505182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   283
time = 309479302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   284
time = 310453422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   285
time = 311427542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   286
time = 312401662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   287
time = 313375782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   288
time = 314349902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   289
time = 315324022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   290
time = 316298142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   291
time = 317272262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   292
time = 318246382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   293
time = 319220502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   294
time = 320194622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   295
time = 321168742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   296
time = 322142862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   297
time = 323116982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   298
time = 324091102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   299
time = 325065222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   300
time = 326039342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   301
time = 327013462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   302
time = 327987582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   303
time = 328961702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   304
time = 329935822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   305
time = 330909942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   306
time = 331884062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   307
time = 332858182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   308
time = 333832302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   309
time = 334806422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   310
time = 335780542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   311
time = 336754662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   312
time = 337728782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   313
time = 338702902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   314
time = 339677022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   315
time = 340651142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   316
time = 341625262, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   317
time = 342599382, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   318
time = 343573502, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   319
time = 344547622, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   320
time = 345521742, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   321
time = 346495862, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   322
time = 347469982, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   323
time = 348444102, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   324
time = 349418222, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   325
time = 350392342, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   326
time = 351366462, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   327
time = 352340582, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   328
time = 353314702, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   329
time = 354288822, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   330
time = 355262942, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   331
time = 356237062, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   332
time = 357211182, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   333
time = 358185302, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   334
time = 359159422, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   335
time = 360133542, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   336
time = 361107662, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   337
time = 362081782, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   338
time = 363055902, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   339
time = 364030022, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   340
time = 365004142, E0:  en = 0, step = 1, dir = 0, delta =  48706, e0 =   341
