time = 91612182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   287
time = 91815382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   288
time = 92018582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   289
time = 92221782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   290
time = 92424982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   291
time = 92628182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   292
time = 92831382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   293
time = 93034582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   294
time = 93237782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   295
time = 93440982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   296
time = 93644182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   297
time = 93847382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   298
time = 94050582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   299
time = 94253782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   300
time = 94456982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   301
time = 94660182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   302
time = 94863382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   303
time = 95066582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   304
time = 95269782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   305
time = 95472982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   306
time = 95676182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   307
time = 95879382, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   308
time = 96082582, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   309
time = 96285782, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   310
time = 96488982, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   311
time = 96692182, X:  en = 0, step = 1, dir = 0, delta =  10160, x =   312
