time = 357445222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   267
time = 358658982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   268
time = 359872742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   269
time = 361086502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   270
time = 362300262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   271
time = 363514022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   272
time = 364727782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   273
time = 365941542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   274
time = 367155302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   275
time = 368369062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   276
time = 369582822, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   277
time = 370796582, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   278
time = 372010342, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   279
time = 373224102, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   280
time = 374437862, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   281
time = 375651622, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   282
time = 376865382, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   283
time = 378079142, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   284
time = 379292902, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   285
time = 380506662, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   286
time = 381720422, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   287
time = 382934182, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   288
time = 384147942, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   289
time = 385361702, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   290
time = 386575462, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   291
time = 387789222, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   292
time = 389002982, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   293
time = 390216742, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   294
time = 391430502, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   295
time = 392644262, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   296
time = 393858022, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   297
time = 395071782, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   298
time = 396285542, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   299
time = 397499302, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   300
time = 398713062, Z:  en = 0, step = 1, dir = 0, delta =  60688, z =   301
